nome_filme,autor_comentario,nota_comentario,conteudo_comentario
Medianeras: Buenos Aires na Era do Amor Virtual,Erlick Badu,5.0,"Vi há muito tempo, achei sensacional. Lembrei, resolvi informar. =)"
Medianeras: Buenos Aires na Era do Amor Virtual,Jardel C.,4.5,O cinema Argentino em sua melhor forma. Um convite a conhecer Buenos Aires. Recomendo.
Medianeras: Buenos Aires na Era do Amor Virtual,Kenny S.,5.0,"Filme muito bom. Como os Argentinos conseguem fazer um filme tão bom com um tema tão simples e nós Brasileiros não temos essas sacadas? Recomento principalmente para quem está aprendendo a Língua Espanhola, assim como eu."
Medianeras: Buenos Aires na Era do Amor Virtual,Maria Inês D.,4.5,Um filme sobre a vida na metrópole e o quanto sua arquitetura e o atual modo de vida distancia e entristece as pessoas.
Medianeras: Buenos Aires na Era do Amor Virtual,Um visitante,5.0,"As pessoas buscam encontrar as pessoas perfeitas e encontrar seus parceiros para relacionamentos pela internet, mas perdem inúmeras oportunidades de conhecer melhor as pessoas que estão muito mais próximas fisicamente. Há uma proximidade corporal, mas uma enorme distância afetiva."
Medianeras: Buenos Aires na Era do Amor Virtual,Diego C.,4.0,"Ótimo filme.  Tinha tudo pra ser chato,  mas não é.  Vale a pena assistir."
Medianeras: Buenos Aires na Era do Amor Virtual,Thiago Soares Meireles,4.0,"Achei o filme monótono... paradão... simples... mas ai, no final, entendi todo o sentido do filme e achei excelente! O filme tem que ser monótono... paradão.... simples... porque assim era a vida deles!! Faz você sentir o filme e os personagens, entrar na história e no final tudo fez muito sentido. Se você entende a que o filme se propõe, percebe que entregou com excelência para você!"
Medianeras: Buenos Aires na Era do Amor Virtual,Alexandre C.,3.5,"Bom filme sobre as relações amorosas nos tempos modernos em uma cidade grande. A solidão e os desencontros são, paradoxalmente, a tônica em muitas cidades altamente povoadas como a Buenos Aires da atualidade.     Além disso, procura retratar as inseguranças e fobias geradas na vida caótica dos grandes centros, em que a vida virtual é um refúgio para muitos. Vale a pena ver !!"
Wall-E,Fabiana R.,5.0,"Demorei para assisti-lo por inteiro. Uma obra-prima, animação com temática mais adulta com certeza, muito inteligente e critica. Quem está acostumado com desenhos estilo A era do gelo, Madagascar, Sherek (desenhos divertidos, é só) claro que não vai gostar desse. Com certeza será um cult da animação. Muito além do esperado."
Wall-E,Noah,5.0,"Infância, doce infância.Ao amar alguém podemos fazer descobertas sobre nós mesmos, tentamos atrair a atenção de quem nos afeta (Wall-e) e podemos fazer pouco a pouco mudanças significativas no mundo.Quem assiste esse filme é tocado sem dúvida de alguma maneira pelo modo simples e criativo do personagem principal ser.O filme apesar de ser uma animação é claramente não apenas direcionado ao público infantil, mas a todos  aqueles que podem criar uma chama em si mesmos chamada esperança.Obviamente, todos os elogios a esta obra-prima são inegáveis."
Wall-E,Maiko D,4.5,"Tem drama, comédia, ação, emoção e muita fofura. É envolvente, quando se percebe, já está acabando. Recomendadíssimo!"
Wall-E,Aieser A.,5.0,"Confesso que demorei muito pra ver esse filme pelo preconceito com os filmes que não tem diálogos...e fico feliz em dizer que estava muito errado por pensar daquele jeito... Wall-e até pouco mais da metade do filme não possui um diálogo sequer.... porém conta com uma qualidade de roteiro e animação inquestionáveis! O filme não só nos diverte , ele nos surpreende com uma história incrível, uma crítica social a alguns pensamentos da ""humanidade sedentária"" , sem falar da emocionante história de amor improvável. Resumindo Wall-e é criativo,divertido e sensacional. EXCELENTE!!!"
Wall-E,Victor N.,4.0,"Os 30 primeiros minutos são chatos pacacete, mas dai em diante o filme é bom. Selo de qualidade da Pixar."
Wall-E,Um visitante,4.0,"Apesar de não ser tão memorável quanto os demais filmes da Era de Ouro da Pixar(os dois primeiros Toy Story, Monstros, Procurando Nemo, e Os Incríeis) Wall-E é um sci-fi animado que não faz feio e entrega o que promete e mais um pouco. Lindamente produzido e com um design de som espetacular, o filme infelizmente sofre de um ritmo irregular demais e seus personagens não são tão interessantes quanto outros criados pelo time genial do Estúdio anteriormente. Apesar de Wall-E ser um personagem carismático, ele só tem uma nota, suas características envolventes vão se esvaindo ao longo da projeção, se tornando apenas um personagem bobinho demais, que só pode ser identificável para crianças mais novas. Ainda sim, o 'relacionamento' dele com Eva é bem desenvolvido na maior parte do tempo e nós conseguimos sentir bastante empatia por eles. Eu acho que o que deixou o filme um pouco estranho pra mim foi mesmo o fato dele sofrer de uma síndrome comum em seu gênero : Ser na verdade dois filmes em um. O primeiro ato, quieto, instigante, e tocante, que apresenta os personagens de forma engenhosa e cativante, não se vê refletido nos atos seguintes. A partir do momento em que eles vão para o espaço, o filme muda completamente de tom, e não de uma forma orgânica ou que torne a estória mais imersiva, mas sim de uma forma abrupta, que vai por caminhos clichês e pouco instigantes. Para o público mais velho, as coisas vão ficando previsíveis demais, sem falar que os personagens humanos não passam de meras caricaturas do americano médio. Enfim, o filme tem problemas, mas do ponto de vista técnico e levando em conta as mensagens que o centro da trama carrega, este é mais um trabalho sólido da parceria Disney/Pixar."
Wall-E,Mateus N.,5.0,"O robô mais humano possível A Pixar é definitivamente o melhor estúdio de animação atual. Cada filme tem seu aspecto único, momentos marcantes, personagens incríveis, e Wall - E é repleto com todos esses aspectos. Num futuro distante, a humanidade poluiu tanto o planeta Terra, chegando a um ponto de ser impossível a sustentação de vida. Sem lugar para ir, são criadas naves para mandar a raça humana para o espaço, enquanto o planeta é limpado por robôs, os Wall - E. O visual do filme é cativante, tanto na Terra, com uma fotografia panorâmica e marrom, e especialmente no espaço, com cores vibrantes, cenas lindas, especialmente quando Wall - E passeia pelos anéis de Saturno. A simplicidade do filme é seu maior trunfo. O desenvolvimento completo de personagens sem a necessidade de quase nenhum diálogo, especialmente o de Wall - E. Sua personalidade nos cativa a partir do primeiro momento em que aparece na telona. Sua semelhança com uma criança é quase inevitável, a inocência, a empolgação quando descobre coisas novas e desejos simples, como o de apenas segurar a mão de sua querida EVA. Outro acerto do longa é a relação entre seus personagens. O amor de Wall - E por EVA é algo delicioso de ver crescendo, o cuidado quem o pequeno robozinho tem por ela, sua determinação de ajudá-la a cumprir sua missão, é algo que traz emoção ao filme, levando até à lágrimas nos olhos de muitos telespectadores.Repleto de um humor agradável, personagens com importância relevante no filme, um visual incrível, e um roteiro ainda mais(mesmo sem falas), Wall - E também nos deixa mensagens ao final, sustentabilidade, amizade, e o que a Pixar sabe mostrar de melhor em seus filmes: Amor."
Wall-E,Ricardo L.,4.0,"Uma animação de primeirissima qualidade, feito pela Disney, bem elaborado, onde mostra qque os mais simples instrumentos feito pelo Homem pode ser melhor do que o proprio ser Humano!!! Muito bom mesmo"
Wall-E,Elvira A.,4.5,"Uma fábula que faz refletir sobre solidariedade e preservação do meio ambiente, num gostoso ritmo de comédia de aventuras. O filme é merecedor do respeito internacional que conquistou e que agradou crianças e adultos."
Wall-E,Neto S.,4.0,"Após entulhar a Terra de lixo e poluir a atmosfera com gases tóxicos, a humanidade deixou o planeta e passou a viver em uma gigantesca nave. O plano era que o retiro durasse alguns poucos anos, com robôs sendo deixados para limpar o planeta. Wall-E é o último destes robôs, que se mantém em funcionamento graças ao auto-conserto de suas peças. Sua vida consiste em compactar o lixo existente no planeta, que forma torres maiores que arranha-céus, e colecionar objetos curiosos que encontra ao realizar seu trabalho. Até que um dia surge repentinamente uma nave, que traz um novo e moderno robô: Eva. A princípio curioso, Wall-E logo se apaixona pela recém-chegada. Animaçao Muito Boas Com Personagens Incriveis Disney Mandou Muito Bem Denovo Nota 9.0"
Wall-E,Julio Davila,3.5,"Crítico, bem animado e emocionante, Wall-E é um excelente filme da PixarWALL·E foi aclamado pela crítica especializada, conseguindo um índice de aprovação de 96% no agregador de resenhas Rotten Tomatoes. Arrecadou um total de 521 311 860 dólares no mundo inteiro. vencendo o Golden Globe Award de Melhor Filme de Animação, o Hugo Award de Melhor Apresentação Dramática, Forma Longa, e o Oscar de Melhor Filme de Animação, recebendo outras cinco indicações em diferentes categorias. O filme realmente é muito bom e entra na minha lista de 10 melhores filmes da Pixar. Mas isso não quer dizer que é perfeito.Após entulhar a Terra de lixo e poluir a atmosfera com gases tóxicos, a humanidade deixou o planeta e passou a viver em uma gigantesca nave. O plano era que o retiro durasse alguns poucos anos, com robôs sendo deixados para limpar o planeta. Wall-E é o último destes robôs, que se mantém em funcionamento graças ao auto-conserto de suas peças. Sua vida consiste em compactar o lixo existente no planeta, que forma torres maiores que arranha-céus, e colecionar objetos curiosos que encontra ao realizar seu trabalho. Até que um dia surge repentinamente uma nave, que traz um novo e moderno robô: Eva. A princípio curioso, Wall-E logo se apaixona pela recém-chegada.A história do filme é interessante e apresenta uma crítica boa à natureza do ser humano e ao fato de que seres humanos são facilmente manipuláveis. O filme definitivamente irá agradar ambientalistas mas sua crítica tem um problema: esse é um filme para crianças. O final do filme apresenta uma opinião como se fosse um fato, uma verdade universal que tem de ser seguida. Quando seu público alvo são pessoas que normalmente irão acreditar em tudo que você apresenta a elas, acho estranho o fato do final ser da forma como é e desconfio das intenções dos criadores mas, apesar disso, o filme é no geral muito satisfatório, os personagens são muito divertidos de ver (principalmente o protagonista que imediatamente ganha a afeição do espectador). Apesar de achar o começo um pouco entediante devo dizer que jamais parei de ficar impressionado com a animação. Esse filme é mais animado do que filmes lançado 7 anos depois e por saber disso os criadores resolveram colocar cenas que não tem particularmente nenhuma relevância à história mas que são muitos prazerosas de ver, justamente por que sua apresentação é belíssima.  É também importante ressaltar a homenagem feita a filmes antigos pois Wall-E constantemente assiste a “Hello Dolly”, um musical antigo e isso tem um efeito muito grande nele. A maior parte dos problemas que eu tenho com filme ocorrem no final (o que acontece com Wall-E no final é impossível) mas no geral o filme é bem divertido.Recomendo o filme para um público fã de animação e cinema visualmente gratificante. Nota: 7/10"
Wall-E,Sidney,2.5,"Pixar..Pixar..você esta de parabéns, mais uma vez conseguiram fazer uma super produção, e um grande e magnifíco filme.WALLE devia ter tido mais espaço no cenário de 2008, mas enfim não deixa de ser uma excelente animação, esses é um dos melhores que ja VI.RECOMENDO."
Wall-E,William,2.5,"Excelente! Mesmo depois de tantas animações a Pixar conseguiu inovar mais uma vez, principalmente no comportamento dos personagens e por mais fantasioso que pareça, não deixa de ser uma versão aceitável do futuro da humanidade e de nosso planeta."
Wall-E,Fabio,2.5,"Chaplin do espaço é pra todas as idades.Que a pixar tinha provado seu valor ao longo dos anos é inegável, cativando sempre crianças e adultos. Porém desta vez como o protagonista de Wall-E, que busca um propósito maior em sua vida, a pixar foi além. Quando se fala em uma animação cuja a história trata de um futuro sombrio no qual a humanidade se exilou no espaço após destruir o meio ambiente e esgotar os recursos da terra é difícil imaginar tal desenho infantil. Mas Wall-E é diversão para os pequeninos e para os grandões. É também uma mensagem para o futuro sem ser chata. Uma das melhores animações de todos os tempos."
Wall-E,Dennys R,3.5,É interessante como conseguiram fazer uma animação completa e cativante mesmo sem os personagens falarem. Parabéns a Disney pelo ótimo trabalho.
Wall-E,Raphael N.,5.0,"Não tem como falar de Pixar sem falar de qualidade, maturidade, detalhe, etc... Quando se fala em melhor filme da Pixar é difícil escolher entre tantas opções excelentes e com qualidades distintas, porém existe um que nunca fica fora de alguma lista de melhores filmes do estúdio, esse filme se chama ""Wall-E"".""Wall-E"" é o filme mais adulto e arriscado da Pixar! O filme se propõe a realizar desafios extremos, e consegue êxito sem esforço!Estamos falando de um desenho infantil, que precisa ser fácil de entender para os pequenos, ""Wall-E"" consegue ser claro com quase nenhum diálogo por mais de 20 minutos, praticamente o primeiro ato inteiro.É incrível o que o filme faz com os robôs, eles são se comunicam perfeitamente sem falar uma palavra, principalmente o casal principal. O protagonista é carismático e expresivo, fala muito com o ""olhar"" e rapidamente a gente se apega ao personagem. A maioria dos personagens tem desenvolvimento profundo. 
spoiler: 
O ""piloto automático"" tem papel de antagonista mas suas motivações são completamente justificáveis a ponto de a gente sempre pensar que ele pode até ter razão! 
Na verdade o vilão da história são os próprios seres humanos que não cuidaram direito do seu lar, uma ótima mensagem para quem ainda desrespeita o meio ambiente. O filme ainda critica explicitamente o capitalismo e o consumismo proveniente dele, uma crítica aos próprios EUA e Disney (ousado). Daria pra ficar horas aqui falando de mensagens do filme: uso excessivo de eletrônicos, falta de cuidado com a saúde, politicagem, propósito de casa indivíduo na vida...O filme tem o mesmo diretor de ""Procurando Nemo"" e as semelhanças são claras tanto na estrutura do longa como um todo até na trilha sonora. O roteiro do filme segue aquele padrão da Pixar, o que imprime originalidade é o excelente desenvolvimento da premissa e da trama. O filme ainda homenageia vários gêneros do cinema como a cinema mudo e as primeiras obras de ficção científica.""Wall-E"" é uma obra de arte quase perfeita, engraçada e divertida de acompanhar; importante e profunda de se refletir MUITO depois!"
Wall-E,Francisco F.,4.0,"Sou fã de desenho animado e dos filmes da Pixar. É um filme bem feito e com uma linda lição de moral, porém períodos lentos e menos humor e carisma que poderia conter."
Wall-E,Ronaldo M,5.0,"Wall-E vai muito mais além da história de um robozinho solitário, feio, pobre, maltrapilho, operário,  que se apaixona pela linda e exótica robozinha Eva, por quem tenta chamar a atenção e conquistá-la gradativamente com sua dedicação e cuidados, comprovando que ""quem ama cuida"".O olhar expressivo e as emoções passadas por um robozinho de metal com espírito de uma criança alegre, ingênua e curiosa,  conquista de imediato qualquer espectador, seja adulto ou infantil.Além do simples entretenimento, o desenho é uma crítica à sociedade de consumo e ao capitalismo selvagem, que vem esgotando os recursos naturais do nosso planeta e nos convida para uma reflexão sobre a nossa existência e sobrevivência.A sociedade, inteligentemente representada por personagens da classe média, sedentária, obesa, bitolada, que não consegue enxergar além de um palmo do seu nariz, diante de seus olhos (com monitores de TVs), são há todo instante, manipulados, idiotizados e conduzidos  pela mídia: O que pensar, o que comer, o que vestir, onde ir, qual a cor da moda, o que é bom, o que é ruim, conceitos e valores, conduzindo-os pela automação e pelo sistema, que vai punir quem ousar subvertê-lo.A produção e a qualidade técnica são impecáveis, vale à pena conferir!"
Wall-E,DANIEL BARRAL,5.0,"Um excelente filme de ficção científica da Pixar. O filme conta a história de um robozinho solitário que coleta lixo de uma Terra situada em 2700, após a atmosfera ser poluída por gases tóxicos, causadas pelo homem, até que tudo muda quando ele conhece Eva. Um excelente filme, um dos meus favoritos da Pixar e com um final muito emocionante."
Wall-E,Um visitante,4.0,"Já passamos do tempo,em que as animações voltavam suas histórias apenas para o público infantil.Se bem,que ainda temos histórias que ainda insistam nesse público.Mais quando demos conta de está assistindo Wall-E ,saberemos que o filme não foi produzido para os olhos das crianças.Wall-E é uma das maiores tarefas da Disney.Que nos aprecia com uma forma de um cinema que já encantou gerações.Com poucos personagens ,o filme ainda assim nos preenche de uma maneira única.Onde viveremos angústias,e principalmente as aventuras que sempre estão trazendo Wall.Um ser solitário,que está rodeado de lixo e nada mais.A solidão do Wall é um dos pontos mais tristes de todo o filme.Mais há de aparecer um ser,quer dizer,mais uma máquina para compartilhar momentos bem mais do que interessantes.A responsável é a bem desenhada Eve.Que irá despertar algum interesse no antigo solitário."
Hotel Transilvânia,Yuri,4.5,Ótimo filme de animação com uma história muito bem elaborada e engraçada. Vale muito a pena assistir.
Hotel Transilvânia,J.Marques,5.0,"Excelente roteiro, personagens muito bem trabalhadas e com uma boa dose de humor.Se animação deve agradar a baixinhos e altinhos, Hotel Transilvânia cumpriu bem essa missão.O filme uniu o clássico com o novo e até mesmo com o universo adolescente.Quem não gosta de um filme assim né?Recomendo a todos que apreciam a um bom e inteligente filme."
Hotel Transilvânia,Phelipe V.,2.5,"Não dá pra falar de Hotel Transilvânia sem falar de sua dublagem nacional catastrófica, cheia de gags adaptadas que deixam a obra ridicula e forçada. Qualquer pessoa com um mínimo de discernimento vai perceber o quão falsas elas são no meio desses diálogos.Dito isso, tenho que dar o braço a torcer: o filme realmente, fora essas coisas adaptadas, tem alguns momentos muito bons, e piadas engraçadíssimas. Porém, peca em diversos outros quesitos. O casal que tentam enfiar na guela não funciona NOT AT ALL, e, até para uma animação, falta química ali. Ou talvez nem tenha faltado a química, o desenvolvimento pode ter sido precário mesmo. O que prejudicou, e bastante, o resultado final.Relevando o desastroso casal romântico, Conde Drácula é um personagem que segura a obra por completo, e inclusive na forma como apresenta os outros monstros, se destaca. Mesmo que seus coadjuvantes sejam fortes e pontuais, o principal ponto, que é ele, nunca é deixado de lado no roteiro (diante da falta de carisma do protagonista jovem do longa).E embora tenha esses pontos positivos, bastante coisa vai por água abaixo quando o filme entra em seu arco final, e os roteiristas se mostram absolutamente preguiçosos, preferindo saídas fáceis e soluções descabidas, além de nunca, jamais, em momento algum, fugir de algum tipo de clichê, e, inclusive, evidenciando todos eles.Hotel Transilvânia, com um ritmo aceleradíssimo durante todo o tempo, é um filme que diverte, e serve apenas pra isso mesmo: breve momento de descontração. Sendo assim, uma animação bastante desnecessária, que prometia muito - com essa premissa excelente -, e acaba entregando beeeem pouco."
Hotel Transilvânia,Everton C,3.0,"Mais uma tentativa Sony Pictures Imageworks INC. de ingressar ao lucrativo mercado de animações.""Hotel Transilvânia"" agrada ao público infantil com personagens simpáticos, agora para as crianças ""grandes"" sem o humor acido de algumas produções recentes, ""Hotel Transilvânia"" parte da premissa do pai super protetor (Drácula) que tenta de todas as formas impedir que sua filha adolescente conheça o mundo fora do castelo."
Hotel Transilvânia,taianesales,0.5,"Como tem espaço pra todas as opiniões nas críticas, vou dizer a minha. Achei o filme ruim. Sou bem exigente quando se trata de animação, e eu espero sempre que o roteirista não confie somente na animação em si e nos efeitos, mas que faça algo inteligente e diferente no enredo, e simplesmente não teve isso. Eu me animei quando vi o trailer, mas vi o filme e me arrependi... Fora a dublagem. Evito ao máximo assistir a filme dublado, porque os dubladores brasileiros ganham tanto a ""confiança"" da crítica e do público que se sentem donos do negócio, sempre prefiro o original. Mas em animação não tem como fugir, só disponibilizam dublado. Eu nem acreditei em algumas traduções que fizeram, mas a dublagem brasileira é sempre assim. Acho que precisa de riso fácil com piadas já vistas antes e pouca exigência com roteiro pra gostar..."
Hotel Transilvânia,Beatriz I.,2.0,"Sou uma amante da animação e por este motivo sou muito exigente quanto aos filmes do gênero, assisti ao filme legendado, com boas expectativas, mas me decepcionei logo nos primeiros 15 minutos. A história começa bem mas fica muito fraca no decorrer da história. Os personagens são convencidos muito facilmente por qualquer coisa: 
spoiler: 
como aconteceu com a Mavis quando foi a vila pela primeira vez, aos outros monstros no final quando o Drácula se desculpa com todos eles pelo ocorrido e quando eles se revelam aos humanos e TODOS aceitam numa boa e os ajudam sem nem saber o que estava acontecendo.
 O filme é engraçado, tem um visual, gráficos e personagens que gostei muito, mas fica restrito à crianças pequenas que assistem um filme e depois nem lembram que o viu, não tem uma cena marcante. Ficou a desejar, sem aquele gostinho de quero mais. Somente mais uma animação."
Hotel Transilvânia,Jackson A L,5.0,"Filme divertidíssimo e encantador. Não só para as crianças, mas à todos. Muito bons esses filmes que sempre trazem uma mensagem legal. Vale a pena a diversão."
Hotel Transilvânia,Estevan Magno,2.0,"Achei fraquinha, com uma história fraca e diálogos também. Mas em compensação são personagens cativantes e algumas cenas são proveitosas. Mas muitas vezes o filme se contradiz:, como por exemplo; o momento em que o garoto entra no castelo e o drácula não o quer ali, nisso o garoto começa a perceber que aquilo é um Hotel para monstros e se assusta querendo assim sair do local, mas o drácula não deixa, o que é estranho pois a 2 minutos ele queria que o garoto fosse embora. Bem, não é o pior que já vi, mas também não é o melhor."
Hotel Transilvânia,Almir S.,3.0,"BOM. No ínicio o filme pode assustar os mais pequenos,mas com o passar do longa, as crianças vão se acostumando.  O roteiro é bacaninha e serve de lição para os pais muito apegados aos seus filhos."
Hotel Transilvânia,Maria Eduarda Gretter,4.5,"Legal demais, a história de um pai super protetor que tem que enfrentar o começo da liberdade da filha e pior, com um namorado agora. O filme é engraçado, possui um elenco muito bacana. Vale a pena assistir."
Hotel Transilvânia,Ricardo L.,4.0,"Muito boa animação! Divertida, com uma boa dose horror, claro que tudo na medida animalesca, roteiro é bacana e entreter bem. diversão garantida."
Hotel Transilvânia,Neto S.,3.0,"O Hotel Transilvânia é um resort cinco estrelas que serve de refúgio para que os monstros possam descansar do árduo trabalho de perseguir e assustar os humanos. O local é comandado pelo Conde Drácula (Adam Sandler), que resolve convidar os amigos para comemorar, ao longo de um fim de semana, o 118º aniversário de sua filha Mavis (Selena Gomez). O que ele não esperava era que Jonathan (Adam Samberg), um humano sem noção, fosse aparecer no local justo quando o hotel está repleto de convidados e, ainda por cima, se apaixonasse por Mavis. Animaçao Muito Bacana e Divertida Vale Apena Nota 7.8"
Hotel Transilvânia,B.Boy Jc,2.0,"Uma mistura de chatinho com algumas partes divertidas... No geral não me cativou. Parte final melhora um pouco, mas não salva o filme. Infelizmente não rolou pra mim. Fraco!"
Hotel Transilvânia,Thales H.,4.0,Não gosto muito de animações da Sony. Comparadas com animações da Disney e da Pixar são bem simples. Mas essa aqui é bem executada.
Hotel Transilvânia,Sandro P.,3.0,"Boa diversão! Começa bem interessante e engraçado, mas vai perdendo o ritmo da metade para o final. Tinha potencial para mais..."
Hotel Transilvânia,Rômulo L,4.0,Esta animação transmitiu uma mensagem positiva que sendo um pai super protetor e excessivo demais acaba prejudicando no desenvolvimento da criança e acaba atrapalhando na futura decisão e até na escolha de projeto.
Hotel Transilvânia,danilo s,5.0,Divertida animação que se ganhar o oscar vai ser merecido (assim como valente e paranorman) destaco a dublagem brasileira que deu um show.
Hotel Transilvânia,Daniel Novaes,4.0,Muito bacana para todas as idades.  leve e divertido.
Hotel Transilvânia,Hugo D.,3.0,"Uma boa animação com sacadas bacanas de como vivem os ""humanos"" e o que os ""diferentes"" fazem para se proteger e conseguir viver numa boa. Tem muita piada boa, história de amor, amizade e cuidado paterno."
