autor_comentario,nota_comentario,conteudo_comentario
Noah,3,infância doce infância amar alguém poder descoberta mesmo tentar atrair atenção afetar wall-e poder mudança significativo mundo assistir filme tocar dúvida algum maneira modo simples criativo personagem principal filme apesar animação claramente direcionar público infantil    criar chamar se mesmo chamar esperança obviamente elogio obra-prima inegável
Maiko D,2,drama comédia ação emoção muito fofuro envolvente perceber acabar recomendadíssimo
Aieser A.,3,confesso demorei pra filme preconceito filme diálogo ... fico feliz errar pensar jeito ... wall-e metade filme possuir diálogo sequer .... contar qualidade roteiro animação inquestionável filme diverte surpreender história incrível crítica social pensamento humanidade sedentário falar emocionante história amor improvável resumir wall-e criativo divertido sensacional excelente
Victor N.,2,30 primeiro minuto chato pacacete dai filme selo qualidade pixar
Um visitante,2,apesar memorável filme ouro pixar(os primeiro toy story monstro procurar nemo incríel wall-e sci-fi animar feio entrega prometer lindamente produzir design som espetacular filme infelizmente sofrer ritmo irregular personagem interessante criar time genial estúdio anteriormente apesar wall-e personagem carismático nota característica envolvente esvair longo projeção tornar personagem bobinho identificável criança relacionamento de ele eva desenvolver conseguir sentir empatia achar deixar filme estranho pra eu fato de ele sofrer síndrome comum gênero verdade filme ato instigante tocante apresentar personagem engenhoso cativante ver refleter ato seguinte espaço filme mudar completamente tom orgânica tornar estória imersiva abrupto caminho clichê instigante público velho coisa ficar previsível falar personagem humano passar mero caricatura americano médio enfim filme problema vista técnico levar contar mensagem Centro trama carregar trabalho sólido parceria disney pixar
Mateus N.,3,robô humano pixar definitivamente bom estúdio animação atual filme aspecto único momento marcante personagem incrível wall repleto aspecto futuro distante humanidade poluir planeta terra chegar impossível sustentação vido criar nave mandar raça humano espaço planeta limpado robô wall e. visual filme cativante terra fotografia panorâmico marrom especialmente espaço cor vibrantes cena lindo especialmente wall passeia anel saturno simplicidade filme trunfo desenvolvimento completo personagem necessidade quase nenhum diálogo especialmente wall e. personalidade cativo aparecer telona semelhança criança quase inevitável inocência empolgação descobrir coisa desejos simples segurar mão querido eva outro acerto longo personagem amor wall eva delicioso crescer cuidado pequeno robozinho determinação ajudar ela cumprir missão trazer emoção filme levar lágrima olho telespectador repleto humor agradável personagem importância relevante filme visual incrível roteiro mais(mesmo fala wall deixar mensagem sustentabilidade amizade pixar mostrar bom filme amor
Ricardo L.,2,animação primeirissimo qualidade fazer disney elaborar mostrar qque simples instrumento fazer homem melhor proprio humano
Elvira A.,2,fábular refletir solidariedade preservação ambiente gostoso ritmo comédia aventuras filme merecedor respeito internacional conquistar agradar criança adulto
Neto S.,2,entulhar terra lixo poluir atmosfera gases tóxico humanidade deixar planeta passar viver gigantesco nave plano retirar durar pouco ano robôs ser deixar limpar planeta wall-e de este robô manter funcionamento graças auto-conserto peça vida consistir compactar lixo existente planeta torr grande arranha-céus colecionar objeto curioso encontrar realizar trabalho dia surgir repentinamente nave trazer moderno robô eva princípio curioso wall-e apaixonar recém-chegada animaçao bom personagem incrivel disney mandar denovo notar 9.0
Julio Davila,1,crítico animar emocionante wall-e excelente filme pixarwall·e aclamar crítica especializar conseguir índice aprovação 96 agregador resenha rotten tomatoes arrecadar total 521 311 860 dólar mundo inteiro vencer golden globe award bom filme animação hugo award bom apresentação dramático longo oscar bom filme animação receber indicação diferentes categoria filme realmente entrar lista 10 bom filme pixar perfeito entulhar terra lixo poluir atmosfera gases tóxico humanidade deixar planeta passar viver gigantesco nave plano retirar durar pouco ano robôs ser deixar limpar planeta wall-e de este robô manter funcionamento graças auto-conserto peça vida consistir compactar lixo existente planeta torr grande arranha-céus colecionar objeto curioso encontrar realizar trabalho dia surgir repentinamente nave trazer moderno robô eva princípio curioso wall-e apaixonar recém-chegada histório filme interessante apresentar crítico natureza humano fato seres humano facilmente manipulável filme definitivamente agradar ambientalista crítico problema filme criança filme apresentar opinião ser fato verdade universal seguir público alvo pessoa normalmente ir acreditar apresentar acho estranho fato desconfio intenção criador apesar filme satisfatório personagem divertir principalmente protagonista imediatamente ganhar afeição espectador apesar achar começo entediante dever jamais parar ficar impressionar animação filme animar filme lançar 7 ano criador resolver colocar cena particularmente relevância histório prazeroso justamente apresentação belíssimo    importante ressaltar homenagem fazer filme antigo wall-e constantemente assistir “ hello dolly ” musical antigo efeito em ele problema filme ocorrer acontecer wall-e impossível filme divertido recomendar filme público fã animação cinema visualmente gratificante nota 7/10
Sidney,1,pixar .. pixar .. parabéns conseguir super produção magnifíco filme Walle dever ter espaço cenário 2008 enfim deixar excelente animação bom ja vi.recomer
William,1,excelente tanto animação pixar conseguir inovar principalmente comportamento personagem fantasioso parecer deixar versão aceitável futuro humanidade planeta
Fabio,1,chaplin espaço pra idade pixar ter provar longo ano inegável cativar criança adulto protagonista wall-e buscar propósito vida pixar falar animação histório tratar futuro sombrio humanidade exilar espaço destruir ambiente esgotar recurso terra difícil imaginar desenho infantil wall-e diversão pequenino grandão mensagem futuro chato bom animação tempo
Dennys R,1,interessante conseguir animação completo cativante personagem falar parabéns disney bom trabalho
Raphael N.,3,"falar pixar falar qualidade maturidade detalhe etc ... falar bom filme pixar difícil escolher tanto opção excelente qualidade distinto existir ficar algum lista bom filme estúdio filme chamar wall-e "" wall-e filme adulto arriscar pixar filme propor realizar desafio extremo conseguir êxito esforço!estamos falar desenho infantil precisar fácil entender pequeno wall-e conseguir claro quase nenhum diálogo 20 minuto praticamente ato inteiro incrível filme robô comunicar perfeitamente falar palavra principalmente casal principal protagonista carismático expresivo falar olhar rapidamente gente apego personagem personagem desenvolvimento profundo 
  spoiler 
  piloto automático papel antagonista motivação completamente justificável gente pensar razão 
  verdade vilão história próprio ser humanos cuidar direito lar ótimo mensagem desrespeito ambiente filme criticar explicitamente capitalismo consumismo proveniente de ele crítica próprio EUA disney ousar dar pra ficar hora falar mensagem filme uso excessivo eletrônico cuidado saúde politicagem propósito casa indivíduo vida ... filme diretor procurar nemo semelhança claro estrutura longo trilha sonoro roteiro filme seguir padrão pixar imprime originalidade excelente desenvolvimento premissar trama filme homenagear gênero cinema cinema mudo primeiro obra ficção científico wall-e obra arte quase perfeito engraçada divertido acompanhar importante profundo refletir"
Francisco F.,2,fã desenho animar filme pixar filme fazer lindo lição moral período lento humor carisma poder conter
Ronaldo M,3,"wall-e história robozinho solitário feio pobre Maltrapilho operário    apaixonar lindo exótico robozinho eva tentar chamar atenção conquistar ela gradativamente dedicação cuidar comprovar amar cuida "" olhar expressivo emoção passar robozinho metal espírito criança alegre ingênuo curioso    conquista imediato espectador ser adulto infantil simples entretenimento desenho críticar sociedade consumo capitalismo selvagem esgotar recurso natural planeta convidar reflexão existência sobrevivência sociedade inteligentemente representar personagem classe médio sedentária obeso bitolar conseguir enxergar palmo nariz olho monitor tv haver instante manipular idiotizar conduzido    mídia pensar comer vestir cor moda ruim conceito valor conduzindo-os automação punir ousar subvertê-lo produção qualidade técnico impecável valer pena conferir"
DANIEL BARRAL,3,excelente filme ficção científico pixar filme contar história robozinho solitário coleta lixo terra situar 2700 atmosfera poluída gases tóxico causar homem mudar conhecer eva excelente filme favorito pixar emocionante
Ravi Oliveira,2,"sinopse entulhar terra lixo poluir atmosfera gases tóxico humanidade deixar planeta passar viver gigantesco nave plano retirar durar pouco ano robôs ser deixar limpar planeta wall-e de este robôs vida consistir compactar lixo existente planeta dia surgir repentinamente nave trazer moderno robô eva princípio curioso wall-e apaixonar resolver segui-la galáxia crítico : "" wall-e obra animação simplicidade filme infantil dirigir Andrew Stanton filme apresentar narrativa envolvente mescla romance ficção científico futuro distópico humanidade deixar terra abandono cerne história wall-e robô singularidade transcender função programar — curiosidade capacidade amar filme destacar abordagem visual sequência inicial comunicação quase silencioso levar apreciar expressão linguagem corporal wall-e . escolhar narrar história pouco diálogo corajoso eficaz permitir público conecter emocionalmente personagem principal palavras wall-e história amor robótico crítico social contundente consumismo desenfrear degradação ambiental cenário terra cobrir lixo devastar servir poderoso lembrete consequêncio ação coletivo maneira filme abordar tema complexo obesidade estilo vida sedentário humanidade futurista sutil impactante trilha sonoro thomas newman outro alto complementar emoção expressar imagem som robótico música delicado criar atmosfera mágico realçar momento descobrir conexão wall-e eve.a animação impressionante detalhe meticuloso trazer vida mundo futurista pixar prova habilidade criar personagem memorável mundo cativante entreter incitam reflexão ser filme voltar público jovem wall-e ressoa espectador idade provar história contar transcender geração provocar conversa relevante futuro resumo wall-e triunfo animação combinar entretenimento mensagem maneira sublime obra continuar inspirar refletir ano lançamento"
Um visitante,2,passar animação voltar história público infantil história insistar público der contar assistir wall-e sabere filme produzir olho criança wall-e grande tarefa disney aprecer cinema encantar geração pouco personagem filme preencher maneira único viverer angústia principalmente aventura trazer wall solitário rodeado lixo solidão wall triste filme haver aparecer máquina compartilhar momento interessante responsável desenhar eve despertar algum interesse antigo solitário
Leonardo A,2,animação ficção científico distópico anteviu crise poluente sustentabilidade planeta
apenasumr,2,bom animaçoe disney ótimo 3d diversão espaçial recomendar idade
Jhonathan C.,2,incrível explêndido pixar superar wall personagem simples praticamente falar pra assistir necessário animação emotivo confuso criança super entendimento adulto
Renata,3,adoro!!!!até robô apaixonar ... incrível criador de esse filme enxergar terra de aqui ano ....
Mateus B,1,filke pixar pixar história pouci desenvolver Walle personagem carisma woody buzz mau filme pixar.péssimo
leonardo,2,duvida bom filme pixar historia construer carisma wall-e encantar forte filme
Mauricio C.,3,aplaudir obra primo animação soltar crítico presente mostrar vir    romance    sincer wall-e eva
Ricardo A.,3,bom filme animação fazer pixar atualidade eu obra primo gênero especialmente lançar mão diálogo autoexplicativo fazer entender criança adulto passar mensagem amor planeta vivemos subtema má educação alimentar romance diferentes classe social robôs mundo moderno virtualidade citar filme esmero clássico revisto querer emocionar pequeno coisa relacionamento robô barato único amiga
Higor Barion,3,pixar impressionar alto qualidade animaçãomas riqueza histório filme mágico valer pena ver revisto nota 5 5
Ferris Bueller N.,3,filme belo tocante fazer obra-prima
Andrew Houtarou,3,animação toy story pixar fazer sequência bom filme incluir aclamar toy story pixar tentar manter sequência sucesso wall-e pixar arriscar história fugir padrão normal animação contar história robô solitário terra inóspita futuro distante começo ver famoso '' pitar '' único pixar filme apresentar história incomuns acabar chamar atenção baixinho altinho ser roteiro maduro adulto divertido criança wall-e destacar atributo técnico som trilha sonoro etc ... roteiro construir trazer    homenagem cinema mudo citação clássico alô dolly 1969).o filme começar robô wall-e fazer trabalho recolher lixo superfície terra aparecer eva robô projetar procurar sinal poder representar terra pronto recolonizar terra wall-e acabar apaixonar eva impossível tratar robôs wall-e tentar discretamente chamar atenção eva si acabar querer embarcar nave vir terra objetivo recolher eva seguindo-a começo perceber capricho atributo técnico pixar excelente trilha sonoro direito indicação combinar belo imagem espaço junto fotografia impressionante wall-e show atributo técnico principalmente áudio indicação bom edição som bom mixagem som contar indicação bom canção original belíssimo down to earth wall-e conseguir fazer inédito animação indicar 6 oscars incluir bom roteiro original ) . wall-e apuro técnico invejável destacar roteiro trabalhar maduro ensinar coisa criança adulto filme lindo cena ser emocionante ser lindo bale espacial wall-e eva obra arte trunfo para animação filme entregar conclusão genial digno animnação pixar conseguir surpreender idéia inovadoro tocar ser bom roteiro ser impressionante criatividade ser wall-e conseguir desbancar animação histório incluir aclamar rei leão disney firmar provavelmente bom animação histório
Estevan Magno,2,pixar desenho matar coração alma alertar poluição mundial desrespeito natureza outro diferencial filme personagem gesto olhar conseguir transmitir pensar sensacional parabéns estúdios animação
Camilla M.,2,disney surpreender achei filme diferente protagonista robô tar certo raridade quase falar história diferente diney costumar apresentar ser filme lir fofo chamar atenção
Alan David,2,bonito animar apesar esperar surpreender filme legal
Gi C.,3,história emocionante moral incrível chorar recomendo
Thales L.,3,trabalho excelente pixar filme tocante divertir recomer
Steven King - Spielberg,3,simplesmente espetacular wall-e olho expressivo desda época dumbo primeiros 5 minuto deixar apaixonar barato ficar pena de ele triste acontecer wall-e simplesmente espetacular pixar bom animação tempo rei leão divertido mente
Lukas Henrier,3,emocionante bom animação pixar otimo aspecto roteiro enredo trilha musica imagem impressionante
Matheus,3,... achar filme fabuloso muito emoção protagonisto robô voce perceber msm compaixão pra salvar planeta
Yuri,2,bom filme animação histório elaborar engraçado valer pena assistir
J.Marques,3,excelente roteiro personagem trabalhar dose humor animação agradar baixinho altinho hotel transilvânio cumprir missão filme uniu clássico universo adolescente gostar filme né?recomer apreciam inteligente filme
Phelipe V.,1,pra falar hotel transilvânio falar dublagem nacional catastrófico cheiar gag adaptar deixar obra ridiculo forçar pessoa mínimo discernimento perceber quão falso de esse diálogo dizer braço torcer filme realmente coisa adaptar momento bom piada engraçadíssimo pecar diversos quesito casal tentar enfiar guela funcionar Not at all animação química ter faltar química desenvolvimento ser precário prejudicar resultado relevar desastroso casal romântico conder drácula personagem seguro obra completo apresentar monstro destacar coadjuvante ser forte pontual principal deixar roteiro carisma protagonista jovem longa).e ter positivo água abaixo filme entrar arco roteirista mostrar absolutamente preguiçoso preferir saída fácel solução descabir jamais algum fugir algum clichê evidenciar hotel transilvânio ritmo aceleradíssimo durante filme diverte servir pra descontração ser animação desnecessário prometir premissa excelente acabar entregar beeeem
Everton C,1,"tentativa sony pictur imageworks inc ingressar lucrativo mercado animação "" hotel transilvânio agrar público infantil personagem simpático criança humor acido produção recente hotel transilvânio premissa pai super protetor drácula tentar forma impedir filha adolescente conhecer mundo castelo"
taianesales,1,espaço pra opinião crítica vou achar filme ruim exigente tratar animação esperar roteirista confie animação si efeitos fazer inteligente diferente enredo simplesmente animeir ver trailer ver filme arrependi ... dublagem evito assistir filme dublar dublador brasileiro ganhar confiança crítico público sentar donos negócio prefiro original animação fugir disponibilizar dublar acreditei tradução fazer dublagem brasileiro achar precisar riso fácil piada ver exigência roteiro pra gostar ...
Beatriz I.,1,"amante animação motivo exigente filme gênero assisti filme legendar bom expectativa decepcionar primeiro 15 minuto história começar ficar fraco decorrer história personagem convencer facilmente 
  spoiler 
  acontecer Mavis Vila monstro drácular desculpa ocorrer revelar humano aceitar ajudar acontecer 
   filme engraçar visual gráfico personagem gostar ficar restrito criança pequeno assistir filme lembrar ver cena marcante ficar desejar gostinho animação"
Jackson A L,3,filme divertidíssimo encantador criança bom filme trazer mensagem legal valer pena diversão
Estevan Magno,1,achar fraquinho história fraco diálogo compensação personagem cativante cena proveitoso muito filme contradiz garoto entrar castelo drácular em isso garoto começar perceber hotel monstro assustar querer sair drácula deixar estranho 2 minuto querer garoto ser mau ver bom
Almir S.,1,ínicio filme assustar pequeno passar longo criança acostumar    roteiro bacaninha servir lição pai apegar filho
Maria Eduarda Gretter,2,legal história pai super protetor enfrentar começo liberdade filha pior namorar filme engraçar possuir elenco bacano valer pena assistir
Ricardo L.,2,animação divertido dose horror claro medir animalesca roteiro bacano entreter diversão garantir
Neto S.,1,hotel transilvânio resort estrela servir refúgio monstro poder descansar árduo trabalho perseguir assustar humano comandar conde drácula adam Sandler resolver convidar amigo comemorar longo semana 118º aniversário filha Mavis selena Gomez esperar jonathan adam samberg humano noção ser aparecer justo hotel repleto convidado apaixonar mavi animaçao bacano divertido valer apena notar 7.8
B.Boy Jc,1,mistura chatinho parte divertido ... cativar melhora salvar filme infelizmente rolar pra eu fraco
Thales H.,2,gostar animação sony comparar animação disney pixar simples executar
Sandro P.,1,diversão começar interessante engraçar perder ritmo metade ter potencial ...
Rômulo L,2,animação transmitir mensagem positivo ser pai super protetor excessivo acabar prejudicar desenvolvimento criança acabar atrapalhar futuro decisão escolhar projeto
danilo s,3,divertido animação ganhar oscar merecer valente paranorman destaco dublagem brasileiro dar show
Daniel Novaes,2,bacano idade    levar divertido
Hugo D.,1,animação sacar bacana viver humano diferente proteger conseguir viver muito piado histório amor amizade cuidado paterno
Um visitante,1,"aparição drácular cinema divertido "" hotel transilvânio bom trabalho adam sanlder envolver último ano animação produzer ótimo personagem tempo frankenweenie paranormanr vir animação tomar Rumo Diferente.27/10/2016 7/10"
Eduardo F.,3,ta ai desenho animar pra idade teor adulto filme realmente gênero infantil engraçar agradar velho contraste comédia clima sombrio hotel conde drácula frequentar monstro ficar drácula cômico amoroso filhinha ficar legal
Magnun C,1,filme legalzinho pra assistir pra chegar animação ja realizar faltar opinião elaboração estória ficar pobre desenvolver personagem interessante cativante resumir ótimo ideia aproveitamento mediano
Igor Ribeiro,1,gostar filme engraçar divertido filme familiar assistir filme 3d cinema sala lotar ser adulto opinião hoje dia adulto gostar filme animação filme adulto ator real gostar filme tanto piada elaborar muito infantl criança rir resto piada forçadas grito coisa voar cair etc. filme ser bom
Jhonathan C.,2,divertido animação claro roteiro levar se conseguir agradar analiso animação agradar história simples bacano pai drácular querer proteger filha mundo musical imperdível
Ronaldo B.,2,agradável filme filme animação divertir ser cinema assistir independente idade ... engraçado filme animação nenhum efeito 3d . chato pagar caro pra filme cansativo ficar quase hora óculos acontecer nenhum efeito interessante ...    adorocinema dar critico 5 estrela raro acontecer pensar filme batman    cavaleiro treva ressurgir digno 5 estrela hotel transilvânio conseguir 4 estrela eu ótimm comédia animar agradar bom animação 2012 sala cinema lotar criança riir rir madagascar 3 procurar ótimo filme
Renato R.,3,filme engraçado garotar valer pena assistir
Bianca V.,2,filme engraçar legal ... gostar historia filme personagem .... animação família
Camilla M.,2,filme criativo piadinha atual enredo engraçar criativo dublador brasileiro peso filme hotel transilvânia parabéns ótimo filme assistir família
Lucas C.,1,certo modo criei total expectativa filme fiquei totalmente desapontar história atrair praticamente nenhum filme achar faltar emoção bom desenvolvimento histór filme assistir família passar chegar pé produção gelo frozen madagascar treinar dragão etc.3.5/5
Iago B.,1,animação parte bom engraçar inferior mts história legal achar faltar desenvolvimento algum personagem q mt personalidade acordar filme Msmith valer família nota-7/10
Jonathan G,1,monstruoso hotel transilvânio divertido simples retratar férias diverso mosntro conde drácular monstro diferentes história contar humano verdade possuir medo raça draculo constroir hotel refugio monstro pai superprotetor conde filha mavis conhecer mundo afora visita inesperado trazer tona história roteiro simples basear história conde filha deixar monstro apoio filme piar bobo engraçado reflexiva estético filme decepcionar alegra odas idade
Eduardo B.,1,filme animação esperar engraçado parte superar animação vi destacar inteligente assustador ...
Jonathan K.,1,filme divertido agrade adulto
Michel _.,1,animação filme filme bom outro muito bom filme interpretar ator diferente longo filme possivel rir animação envolver triste trama algum personagem filme filme assistir classifico bom ver animação bom
Paula S.,3,simplesmente encantador divertido personagem incrível filme detalhe medida certo esplêndido ser sequência impressionante
Marina L.,3,divertido adulto criança
Davi A.,3,filme bom q vi!!!tem muito animação!!recomendo!!
Gabriela B.,1,assisti esperar ir de aquele animação espetacular engraçada ... acabar decepcionar filme ser ruim animação bacano arte inteligente filme ótima voz adam Sandler ... esperar crítica filme alto acho ser animação ataque públicos infantil passar jovem ir adulto achar público de ela especifico comédia romântico animar
Sandra V.,2,filme divertido bom achei seria!vário cena engraçar personagem filme série terror dê medo criança pequenas!muito
Gabriel R.,1,filme homenagem montro clasico cinema
apenasumr,1,gelo 3 recomendo
Camilla M.,1,tratar continuação atitude comparar antigo ser prefiro antigo geralmente dar graça gelo Sid quase aparecer junto história esquilo ninguém nome contexto longo sair apesar mudança histório ficar original
Ronaldo B.,3,duvidar bom filme franquia engraçar bom efeito 3d .
Diegoprs,2,série começar ótima dar leve caída filme voltar divertidíssimo criança
Rafael B.,3,bom filme franquia gelo lançar época q franquia pra eu franquia morrer filme
jhonyborba,1,manter bom
Sidney,1,continuar ser filme achar cair qualidade recomendar
Vinícius d,2,engraçar primeiros série novamente preguiça Sid aprontar mundo preguiça perder surgir doninha louco filme inspirar dinossauro diversão criançado
Vinipassos,2,filme conseguir seguir lógico interessante anterior gelo degelo gelo saga personagem floresta divertido personagem buck engraçar divertido certo guia aventura fazer série filme acrescentar gambás tbm aproveitar contrário filme vilão real oq deixar legal trama roteiro tbm
Anderson B.,1,filme pior enredo deixar tema gelo querer dinossauro ter foco resgate personagem batir carne pra ficar macio ... salvar filme Scrat finalmente esquecer noz Esquila fazer cena aparecer alto risada mau 3 filme ruim ... bom
Jhonathan C.,2,franquia sair gelo aventurar floresta deixar animação gostoso assistir personagem executar trazer certos momento pequeno humor especialmente personagem sid scrat precisar falar arrancar gargalhada
Estevan Magno,1,série voltar fracasso filme dinossauro ficar ótimos animação personagem engraçado sair série ficar chato filme personagem ápice filme engraçar fiel legal esquilo arranjar alma Gemea :)
Neto S.,1,gelo fugir roteiro original tirar gelo pra dinossauro filme ser fraco quadrilogia filme continuar bom parte engraçar principalmente personagen buck dar humor pro filme pra eu animaçao fico achar dar pra melhorar esqueçido gelo pra dinossauro dou nota 8.8
Fernando Schiavi,3,excelente dúvida bom trilogia importante frisar contrário várias franquia cinema gelo melhorar filme talentosíssimo diretor brasileiro Carlos Saldanha mostrar bom craque animação cinema mundial saber apresentar história asmesmo característica anterior bom roteiro escrever mão Michael Berg peter Ackerman Mike reiss yoni brenner trazer fase maduro personagem aventura cheio ação emoção ambiente diferente filme filme ver manny ellier esperar bebê Sid achar ovo dinossauro pensar estar abandonado pegar ser filhote diego acahar manny próprio família bom afastar deixar vida pacata viver aventura sozinho mudar mãe tiranossauro sid bebê acabar levar mundo subterrâneo amigo descobr dinossauro pensar extinto viv vasto mundo subterrâneo habitar várias raça dinossauro de ele perigoso amigo diego Manny ellier irmão criação esquilo arriscar próprio vida gravidez ellier resgatar sid contar ajuda buck doninha viver haver mundo subterrâneo ajudar busca perigoso local mundo paralelamnete Scrat dividir atenção noz interesse romântico render cena hilário interessante Carlos Saldanha conseguir abordar amadurecimento relacionamento kostrar manny ter filhote ter seguir próprio vida mostrar amizade carinho unidos mia agrander aventura filme contémr citação desenho coiote papa-léguo cena queda Scrat penhasco filme virgem 40 ano cena estilo Spielberg parque dinossauro close dar plano dinossauro grito Yabadabadu remeter flintstone viver época protagonista filme dinossauro várias filme trazer clima constante humor momento emocionante frequência momento apropriar poder citar tentativa resgate ovo sid penhasco gelo abaixo impagável cena parto ellier acompanhar diego cena hilário planejar roteirista cena sid discutir modo alimentar pequeno dinossauro autentico discussão pai mãe cena câmera lento diego correr cervo fazer especialmente 3d cena voz alterar ser gás hélio quase morr rir teoria buck ocorrer sid dinossauro comida espalhar chão árvore sucessão genial cena último meia hora perder ritmo finalizar aventura maestrio muiro importante destacar complexidade gráfico obra criar mundo inteiro cenário praticamente filme outro gráfico impecável 3d espetáculo ficar evidente ver trilha sonoro John powell embalar aventura drama maestria filme manter lição vida moral aventura humor saber beber fonte seguro mostrar talento Saldanha orgulhar brasileiro talento nato filme ceder tentação repetir cair próprio armadilha fórmulo poder exceder aspecto felizmente ocorrer filme família diversão garantir adulto gostar criança filmaço divertidíssimo entretenimento puro perfeito
silva m.,3,bom gelo engraçado.nota:5.0
Felipe O.,1,bom filme 3 gelo principalmente formato 3d deixar filme emocionante personagem querir telinha embarcar aventura mundo não saber existir viver gelo    personagem namoradinha scrat filme trazer alegria publico chegar amor filha manny ellier    missão salvar Sid levar dinossauro sid roubar ovo dinossauro
Rogerio_ruts,3,bom franquia Carlos Saldanha dar show obs Blue sky ascendente filme bom dreamworks queda(na opinião
Um visitante,1,"filme fraco franquia viver dinossauros"",algo reciclar último filme história começar cansar filme estúdio ter optar acumular bom faturamento piar começar falhar salva-se dinâmico turma prato cheio programa infantil caso contrário historia funciona.-nota 4/10"
Filipe,1,haha mto extremamente engraçado levar divertido filme familiar eskecer problema muito gargalhada parar roteiro sagaz qualidade animação excelente personagem carismático humor afiar mantir qualidade otro filme serie mto
